Entity,Year,0.1%,0.25%,0.5%,1%,10%,5%
Australia,2000,14.2,12.835135135135134,14.731707317073173,18.3,24.9,21.1
Australia,2001,13.2,12.835135135135134,14.731707317073173,18.4,25.1,21.4
Australia,2002,13.5,12.835135135135134,14.731707317073173,18.8,25.1,21.5
Australia,2003,14.4,12.835135135135134,14.731707317073173,19.1,25.1,21.6
Australia,2004,15.2,12.835135135135134,14.731707317073173,19.6,25.5,22.2
Australia,2005,15.1,12.835135135135134,14.731707317073173,20.3,25.5,22.6
Australia,2006,16.8,12.835135135135134,14.731707317073173,21.5,26.0,23.4
Australia,2007,16.1,12.835135135135134,14.731707317073173,20.7,25.4,22.9
Australia,2008,16.1,12.835135135135134,14.731707317073173,20.2,25.9,22.6
Australia,2009,15.9,12.835135135135134,14.731707317073173,20.0,26.0,22.5
Australia,2010,16.7,12.835135135135134,14.731707317073173,20.4,25.8,22.8
Australia,2011,16.7,12.835135135135134,14.731707317073173,20.2,25.3,22.3
Australia,2012,16.7,12.835135135135134,14.731707317073173,19.8,25.1,21.8
Australia,2013,17.2,12.835135135135134,14.731707317073173,20.3,25.7,22.3
Australia,2014,11.913740458015265,12.835135135135134,14.731707317073173,20.8,26.6,23.0
Canada,1993,10.4,12.835135135135134,14.731707317073173,13.5,22.2,18.6
Canada,1994,10.7,12.835135135135134,14.731707317073173,13.8,21.9,18.1
Canada,1995,10.3,12.835135135135134,14.731707317073173,14.5,22.3,18.5
Canada,1996,9.9,12.835135135135134,14.731707317073173,15.0,22.7,19.0
Canada,1997,9.9,12.835135135135134,14.731707317073173,15.4,22.7,18.9
Canada,1998,10.8,12.835135135135134,14.731707317073173,15.7,23.4,19.6
Canada,1999,11.8,12.835135135135134,14.731707317073173,16.2,23.7,19.9
Canada,2000,11.4,12.835135135135134,14.731707317073173,16.6,25.7,21.8
Canada,2001,11.5,12.835135135135134,14.731707317073173,17.2,25.2,21.3
Canada,2002,12.1,12.835135135135134,14.731707317073173,17.5,26.2,21.9
Canada,2003,12.6,12.835135135135134,14.731707317073173,17.9,26.7,22.3
Canada,2004,12.2,12.835135135135134,14.731707317073173,18.5,27.2,22.9
Canada,2005,12.5,12.835135135135134,14.731707317073173,18.8,27.3,23.0
Canada,2006,12.0,12.835135135135134,14.731707317073173,19.5,27.8,23.6
Canada,2007,12.9,12.835135135135134,14.731707317073173,20.1,28.5,24.2
Canada,2008,13.4,12.835135135135134,14.731707317073173,20.3,28.8,24.4
Canada,2009,13.7,12.835135135135134,14.731707317073173,20.8,30.6,25.6
Canada,2010,13.3,12.835135135135134,14.731707317073173,20.9,30.4,25.5
Canada,2011,13.9,12.835135135135134,14.731707317073173,21.1,30.3,25.4
Canada,2012,14.5,12.835135135135134,14.731707317073173,21.3,29.8,25.2
Canada,2013,15.9,12.835135135135134,14.731707317073173,22.0,29.8,25.4
Canada,2014,15.3,12.835135135135134,14.731707317073173,21.7,29.7,25.2
Canada,2015,16.5,12.835135135135134,14.731707317073173,23.2,30.8,26.5
Denmark,1980,4.8,12.835135135135134,14.731707317073173,4.5,9.4,6.9
Denmark,1981,5.0,12.835135135135134,14.731707317073173,4.7,10.3,7.3
Denmark,1982,4.6,12.835135135135134,14.731707317073173,4.8,10.7,7.6
Denmark,1983,5.5,12.835135135135134,14.731707317073173,5.6,11.7,8.4
Denmark,1984,5.8,12.835135135135134,14.731707317073173,5.6,11.2,8.3
Denmark,1985,5.8,12.835135135135134,14.731707317073173,5.8,12.1,8.7
Denmark,1986,5.6,12.835135135135134,14.731707317073173,5.6,11.4,8.3
Denmark,1987,6.8,12.835135135135134,14.731707317073173,6.2,12.4,9.0
Denmark,1988,6.4,12.835135135135134,14.731707317073173,6.4,14.6,10.4
Denmark,1989,7.2,12.835135135135134,14.731707317073173,6.8,15.3,10.9
Denmark,1990,7.0,12.835135135135134,14.731707317073173,7.1,16.3,11.5
Denmark,1991,8.4,12.835135135135134,14.731707317073173,8.2,16.7,12.5
Denmark,1992,8.4,12.835135135135134,14.731707317073173,9.1,17.6,13.4
Denmark,1993,8.8,12.835135135135134,14.731707317073173,9.4,18.6,14.0
Denmark,1994,8.9,12.835135135135134,14.731707317073173,9.5,18.4,14.0
Denmark,1995,8.8,12.835135135135134,14.731707317073173,9.4,18.6,14.3
Denmark,1996,9.2,12.835135135135134,14.731707317073173,9.5,19.0,14.4
Denmark,1997,8.9,12.835135135135134,14.731707317073173,9.6,19.0,14.4
Denmark,1998,8.2,12.835135135135134,14.731707317073173,9.9,19.5,14.9
